%%BEGIN_HEADER
	%%BEGIN DATABASE_INFORMATION
		%Date.0 ( 25.3.2012 )
		%Time.0 ( 15:18 )
	%%END DATABASE_INFORMATION
	%%BEGIN SETUP_INFORMATION
		%TrackerVersion.0 ( Tracker version 2.33 release 01.12.2008 )
		%ElapsedTime_ms.0 ( 1201459 )
		%Paradigm.0 ( PlaceAvoidance )
		%ShockParameters.0 ( 300 500 900 300 )
			// %ShockParameters.0 ( EntranceLatency ShockDuration InterShockLatency OutsideRefractory )
		%ElapsedPath_m.0 ( 68,52 )
		%ArenaDiameter_m.0 ( 0.82 )
		%TrackerResolution_PixPerCM.0 ( 3.1220 )
		%ArenaCenterXY.0 ( 127.5 127.5 )
		%Frame.0 ( RoomFrame )
		%ReinforcedSector.0 ( 315 60 0.0000 127.5000  )
			//%ReinforcedSector.0 ( CenterAngle Width InnerRadius OuterRadius )
		%RoomTrackReinforcedSector.0 ( 315 60 0.0000 127.5000  )
			//%ReinforcedSector.0 ( CenterAngle Width InnerRadius OuterRadius )
	%%END SETUP_INFORMATION
	%%BEGIN RECORD_FORMAT
		%Sample.0 ( FrameCount 1msTimeStamp RoomX RoomY Sectors State CurrentLevel MotorState Flags FrameInfo )
			//Sectors indicate if the object is in a sector. Number is binary coded. Sectors = 0: no sector, Sectors = 1: room sector, Sectors: = 2 arena sector, Sectors: = 3 room and arena sector
			//State indicates the Avoidance state: OutsideSector = 0, EntranceLatency = 1, Shock = 2, InterShockLatency = 3, OutsideRefractory = 4, BadSpot = 5
			//MotorState indicates: NoMove = 0, MoveCW = positive, MoveCCW = negative
			//ShockLevel indicates the level of shock current: NoShock = 0, CurrentLevel = other_values
			//FrameInfo indicates succesfuly tracked spots: ReferencePoint * 2^0 + Spot0 * 2^(1+0) + Spot1 * 2^(1+1) + Spot2 * 2^(1+2) .... 
	%%END RECORD_FORMAT
%%END_HEADER
1	39	103	233	0	0	0	0	*	3
2	79	103	233	0	0	0	0	*	3
3	119	102	232	0	0	0	0	*	3
4	159	101	232	0	0	0	0	*	3
5	199	100	232	0	0	0	0	*	3
6	239	100	232	0	0	0	0	*	3
7	279	99	231	0	0	0	0	*	3
8	319	98	231	0	0	0	0	*	3
9	359	97	231	0	0	0	0	*	3
10	399	97	230	0	0	0	0	*	3
11	439	96	230	0	0	0	0	*	3
12	479	96	230	0	0	0	0	*	3
13	519	95	230	0	0	0	0	*	3
14	559	94	229	0	0	0	0	*	3
15	599	93	229	0	0	0	0	*	3
16	639	93	229	0	0	0	0	*	3
17	679	92	229	0	0	0	0	*	3
18	719	92	228	0	0	0	0	*	3
19	759	90	228	0	0	0	0	*	3
20	799	90	227	0	0	0	0	*	3
21	839	90	227	0	0	0	0	*	3
22	879	89	227	0	0	0	0	*	3
23	919	88	226	0	0	0	0	*	3
24	959	88	226	0	0	0	0	*	3
25	999	86	226	0	0	0	0	*	3
26	1039	86	226	0	0	0	0	*	3
27	1079	85	226	0	0	0	0	*	3
28	1119	85	226	0	0	0	0	*	3
29	1159	85	226	0	0	0	0	*	3
30	1199	85	226	0	0	0	0	*	3
31	1239	85	227	0	0	0	0	*	3
32	1279	86	227	0	0	0	0	*	3
33	1319	86	229	0	0	0	0	*	3
34	1359	86	230	0	0	0	0	*	3
35	1399	86	232	0	0	0	0	*	3
36	1439	86	232	0	0	0	0	*	3
37	1479	87	233	0	0	0	0	*	3
38	1519	87	233	0	0	0	0	*	3
39	1559	88	233	0	0	0	0	*	3
40	1599	88	233	0	0	0	0	*	3
41	1639	88	233	0	0	0	0	*	3
42	1679	88	233	0	0	0	0	*	3
43	1719	88	233	0	0	0	0	*	3
44	1759	88	233	0	0	0	0	*	3
45	1799	88	233	0	0	0	0	*	3
46	1839	87	233	0	0	0	0	*	3
47	1879	86	232	0	0	0	0	*	3
48	1919	86	232	0	0	0	0	*	3
49	1959	85	232	0	0	0	0	*	3
50	1999	85	231	0	0	0	0	*	3
